Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
7.087208588846535,3.8,9.02319489339811,2.6560364180869453,1.8,2.985102465166338,Moderate
5.423191123956727,3.5,7.901597628065309,4.0806193596687566,3.0,2.7979186061651466,Low
5.089114111582278,3.9,9.236514692533833,1.57509401343514,4.6,2.6630689149000277,Low
6.465949934982898,2.1,7.231358759972792,1.6257272181331033,6.5,2.902266329519746,Moderate
8.130715516517354,0.6,6.4402116689072635,2.2348025438016506,6.6,3.501438096272727,High
6.08244775384806,2.1,8.036810478875138,0.10969123796557254,7.6,2.816585989830518,Moderate
8.178946533036203,0.7,5.443070853367345,5.766372405468131,4.3,3.1165157550876192,High
8.206616142116582,1.8,5.444362355020678,3.285821048475871,5.2,3.2402935227815775,High
5.249162036350975,3.6,5.7444265999928,4.129712429844443,4.9,2.8185037128379764,Low
7.734235778257515,0.7,9.987731512099895,4.517833326436154,1.3,2.7890750159034234,Moderate
9.525556369143356,3.6,7.925730853507849,2.051613141719059,0.2,3.397350318364908,High
6.848861941345799,1.1,9.234349914513608,2.2839654430268164,4.8,2.915785209809678,Moderate
6.3218845132578805,2.2,5.557602981227866,4.810516569012178,4.9,2.8849171212634803,High
4.7654940632425316,3.3,8.419647480293184,4.329864289430343,2.8,2.8537055800640814,Low
8.83323566233994,0.3,6.823337229433215,0.7958447140571376,7.3,3.4114638558826598,High
6.755258885035171,0.3,6.4933298162817215,2.107970241255298,8.4,3.1653286797566995,Moderate
8.640400093550229,2.6,9.667947264890751,1.5342115268621048,1.8,3.38774123275041,High
8.747133217226969,2.2,8.797855712297007,1.9645939509180272,2.1,3.1822931734954865,High
7.445479618647758,1.7,5.042639236544378,0.62256500180614,9.0,3.1120930498731054,High
6.558429205032424,2.0,9.705218891261412,1.3769054010224355,4.4,2.9699962760219005,Moderate
7.094540530313218,3.0,6.068330010791878,0.36321441302222535,7.3,2.868770216722852,Moderate
9.459811585889568,3.2,8.30460824381506,2.574719897154867,0.4,3.3640429616104197,High
8.965721006762605,0.7,9.307518328827301,2.922418201519081,2.2,3.166206814218727,High
6.149189308285877,1.7,9.045698449036962,5.0470344477982065,1.9,2.9027880129613455,Moderate
5.113994238733025,2.0,7.187456770030233,1.0295803438582718,8.6,2.7381286594513035,Low
9.791196713629343,1.3,7.557911612148497,3.6067620506327636,1.6,3.285036526777418,High
6.860203669743864,3.9,9.976438948799283,1.0107847874588465,2.6,2.6494795351260123,Moderate
6.7296016444716,0.1,7.851998793303904,2.8309496674068906,6.5,2.9665191519396297,Moderate
5.347232955633711,1.1,9.393654214101613,1.2663862419319203,6.7,2.804116426215334,Low
9.869745989647532,1.0,8.215416241528981,3.5380110599577095,1.1,3.247013099664609,High
6.1549989682914426,2.9,6.861466135604903,3.7606321434215073,4.3,3.051291760996731,Moderate
5.757341516174192,3.3,6.73706496350553,0.9613300736517412,7.5,3.222055021180089,Low
5.161960965435507,2.4,8.273940679126078,0.1449016508156936,7.9,2.4762068854865835,Low
8.272099682192197,0.7,8.583833829188224,1.9888067543170793,4.3,3.2450291252408747,High
9.732083310483219,0.6,6.879145046408446,0.6251094868650149,6.3,3.642127423546159,High
8.934069833714114,2.2,7.76066534638892,1.238646282515396,3.9,3.0630230091103554,High
5.3462157123397,3.6,9.601338087234096,3.4355452388728063,2.0,2.5057903600260505,Low
8.712130725821288,3.6,9.399613700016568,2.0000575575684976,0.5,3.028429558180091,High
8.181330474417802,0.3,5.870861414516335,5.473926064042253,4.3,3.311402417685005,High
4.8427578157791915,0.6,7.708788401750326,4.294492052428687,6.5,2.628467367827269,Low
8.230894687752173,0.9,8.454918401471652,1.4455348486812387,4.8,3.5082771534946637,High
8.301639881632859,3.4,8.49775501425598,1.9306830810873663,1.8,3.0838723176952807,High
5.5438685739444935,1.5,6.4914290569387845,1.7413582047532852,9.2,2.8242339541286112,Low
9.408793148693068,2.5,9.08819993350683,1.46861584234511,1.5,3.520582189951055,High
7.915868251427039,2.0,6.0386988174093235,4.40405297041083,3.8,2.9682832490478646,Moderate
