Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
6.884550416449283,3.812418227618732,8.767165517992927,2.787252991165766,1.309273882939643,2.964544395037404,Moderate
5.429661761058907,3.3637310242770044,7.872842264863995,4.2541283614656535,2.9550280034980045,2.7414260528714487,Low
5.131749146244603,3.875366883198417,9.315842907414439,1.254684304744949,4.4567709439809615,2.690453629236098,Low
6.186975702664908,1.989308632464811,7.074348925627294,1.489592295726111,6.815300542707397,2.898398628139448,Moderate
8.259282832871687,0.4668540731386823,6.328860582689675,2.032547070175989,6.919227265269337,3.5335270400544263,High
6.088770210667627,2.1014494332857616,7.916623586924267,0.3380979783858157,7.826846266976362,2.8781050434949638,Moderate
8.143941165120351,0.6967408374230858,5.288161575501918,5.717605035272789,4.012929838072662,3.121869643060037,High
8.660554913963056,1.6962508744745206,5.413988701456702,3.086828630531489,5.133084144831794,3.243006741839933,High
5.619804788507761,3.4831137130994403,6.420201039818032,4.041202399219748,4.411479762349804,2.8049252405481546,Low
8.086218242491332,0.6312607891242041,9.664504148989733,4.3837686988291855,0.6960275185301726,2.7360215877347267,Moderate
9.791862535097733,3.6939192621619874,7.919834323116887,2.626399809500568,0.20778783478450738,3.4014732425521577,High
7.079676194844721,0.9684016958672351,9.047481196017712,2.040449392893424,4.984136681619567,2.957938512470383,Moderate
6.250047596663985,2.0931668023470262,5.84650584109462,4.574623772990364,4.710141951120634,2.8460826408820665,High
4.892504857416337,3.251844579291784,8.534618241129627,4.229139406845678,2.5164221324183784,2.9112209307271404,Low
9.039909255977834,0.21006572934474543,6.755072870653634,1.0653289538141855,7.4127692746352585,3.4375269831646804,High
6.670242724338353,0.24751964398314863,6.505017535027476,1.917153086859353,8.395692604675967,3.139372104443546,Moderate
8.32772278217525,2.7273360587966313,9.561179819016651,1.5927461747467337,1.876966690462902,3.3775473990499885,High
